"Location";"Source"
"188155806-0-1046";"Make a Renowned and an Epic Food or Drink."
"188155806-0-1048";"Improve Clothier items to all available Qualities."
"188155806-0-1049";"Defeat all of the champions in Root Sunder."
"188155806-0-1050";"Defeat all of the Champions in Rulanyil's Fall."
"188155806-0-1051";"Defeat all of the champions in Crimson Cove."
"188155806-0-1052";"Defeat all of the champions in the Vile Manse."
"188155806-0-1053";"Defeat all of the champions in Bad Man's Hallows."
"188155806-0-1054";"Defeat all of the champions in Bonesnap Ruins."
"188155806-0-1055";"Defeat all of the champions in Razak's Wheel."
"188155806-0-1056";"Defeat all of the champions in Village of the Lost."
"188155806-0-1057";"Defeat three of the champions in Root Sunder."
"188155806-0-1058";"Defeat three of the champions in Rulanyil's Fall."
"188155806-0-1059";"Defeat three of the champions in Crimson Cove."
"188155806-0-1060";"Defeat three of the champions in the Vile Manse."
"188155806-0-1061";"Defeat three of the champions in Bad Man's Hallows."
"188155806-0-1062";"Defeat three of the champions in Bonesnap Ruins."
"188155806-0-1063";"Defeat three of the champions in Razak's Wheel."
"188155806-0-1064";"Defeat three of the champions in Village of the Lost."
"188155806-0-1068";"Defeat all of the Public Dungeon champions in the Ebonheart Pact."
"188155806-0-1069";"Defeat all of the Public Dungeon champions in the Aldmeri Dominion."
"188155806-0-1070";"Defeat all of the Public Dungeon champions in the Daggerfall Covenant."
"188155806-0-1071";"Complete the listed Speed Challenges."
"188155806-0-1072";"Complete the listed Hard Mode Dungeons."
"188155806-0-1073";"Defeat all the bosses throughout the Group Dungeons in the Ebonheart Pact."
"188155806-0-1074";"Defeat all the bosses throughout the Group Dungeons in the Daggerfall Covenant."
"188155806-0-1075";"Defeat all the bosses throughout the Group Dungeons in the Aldmeri Dominion."
"188155806-0-1078";"Complete a Weekly Trial or Arena."
"188155806-0-1079";"Complete a Weekly Veteran Trial or Arena within 33 minutes."
"188155806-0-1080";"Complete Veteran Hel Ra Citadel within a time limit of 33 minutes."
"188155806-0-1081";"Complete Veteran Aetherian Archive within a time limit of 33 minutes."
"188155806-0-1082";"Rescue all of the members of the failed Undaunted expedition to the City of Ash II."
"188155806-0-1084";"In Veteran Crypt of Hearts II, allow four of Nerien'eth's Students to survive until he takes the Ebony Blade before defeating them all."
"188155806-0-1085";"Make a Renowned Food or Drink."
"188155806-0-1086";"Make an Epic Food or Drink."
"188155806-0-1087";"Learn all of the Traits for the Blessed Thistle Alchemy reagent."
"188155806-0-1088";"Learn all of the Traits for the Wormwood Alchemy reagent."
"188155806-0-1089";"Learn all of the Traits for the Lady's Smock Alchemy reagent."
"188155806-0-1090";"Learn all of the Traits for the Bugloss Alchemy reagent."
"188155806-0-1091";"Learn all of the Traits for the Dragonthorn Alchemy reagent."
"188155806-0-1092";"Learn all of the Traits for the Mountain Flower Alchemy reagent."
"188155806-0-1093";"Learn all of the Traits for the Columbine Alchemy reagent."
"188155806-0-1094";"Learn all the Traits for the Corn Flower Alchemy Plant."
"188155806-0-1095";"Learn all of the Traits for the Nirnroot Alchemy reagent."
"188155806-0-1096";"Learn all of the Traits for the Water Hyacinth Alchemy reagent."
"188155806-0-1097";"Learn all of the Traits for the Stinkhorn Alchemy reagent."
"188155806-0-1098";"Learn all of the Traits for the Blue Entoloma Alchemy reagent."
"188155806-0-1099";"Learn all of the Traits for the Emetic Russula Alchemy reagent."
"188155806-0-1100";"Learn all of the Traits for the Violet Coprinus Alchemy reagent."
"188155806-0-1101";"Learn all of the Traits for the Namira's Rot Alchemy reagent."
"188155806-0-1102";"Learn all of the Traits for the White Cap Alchemy reagent."
"188155806-0-1103";"Learn all of the Traits for the Luminous Russula Alchemy reagent."
"188155806-0-1104";"Learn all of the Traits for the Imp Stool Alchemy reagent."
"188155806-0-1105";"Defeat 300 Dremora in Veteran City of Ash II."
"188155806-0-1106";"Defeat 50 Flame Colossi in Veteran City of Ash II."
"188155806-0-1107";"Defeat Rukhan, Marruz, Akezel, Urata the Legion, Horvantud the Fire Maw, the Ash Titan, and the Daedra at the bridge to Valkyn Skoria, before defeating Valkyn Skoria himself in Veteran City of Ash II without suffering a group member death."
"188155806-0-1108";"Defeat Rukhan, Marruz, Akezel, Urata the Legion, Horvantud the Fire Maw, and the Ash Titan; reassemble the bridge; and defeat Valkyn Skoria himself in Veteran City of Ash II, all within thirty minutes. Timer starts when players enter the Inner Grove."
"188155806-0-1109";"Kill all the named champions lurking in the Imperial Sewers."
"188155806-0-1111";"Explore the culinary traditions of the Dremora."
"188155806-0-1112";"Complete the Gray Passage pilgrimage within the allotted time limit."
"188155806-0-1113";"Use the feed pile in Sanctum Ophidia and survive the ensuing battle."
"188155806-0-1114";"In Veteran City of Ash II, make a pact with the Frigid Tome, then defeat Valkyn Skoria."
"188155806-0-1115";"Deal 1,000,000 points of damage in Trials."
"188155806-0-1116";"Heal 1,000,000 points of damage to allies in Trials."
"188155806-0-1117";"Block 1,000,000 points of damage in Trials."
"188155806-0-1120";"Defeat the Adjudicator, the Elite Guard, the Planar Inhibitor, and Molag Kena in Veteran White-Gold Tower."
"188155806-0-1121";"Find Geldrion Treehelm's stash in Belkarth."
"188155806-0-1122";"Free prisoners from their cell blocks in Imperial City Prison."
"188155806-0-1123";"Defeat the Celestial Serpent."
"188155806-0-1124";"Complete Veteran Sanctum Ophidia within a time limit of 33 minutes."
"188155806-0-1125";"Research the Nirnhoned Trait for any weapon or armor type."
"188155806-0-1126";"Discover and clear all caves and locales throughout Upper Craglorn."
"188155806-0-1127";"Discover and clear all six explorable caves in Upper Craglorn."
"188155806-0-1128";"Defeat all mini-boss and boss enemies in Veteran Imperial City Prison within forty five minutes of starting the dungeon. Timer starts when players enter the Bastion."
"188155806-0-1129";"Defeat all mini-boss and boss enemies in Veteran Imperial City Prison without suffering a group member death."
"188155806-0-1130";"Defeat 50 Vigilant Watchers in Veteran Imperial City Prison."
"188155806-0-1131";"Defeat 300 Mindshriven in Veteran Imperial City Prison."
"188155806-0-1132";"Complete the listed Challenges for veteran dungeons in Imperial City."
"188155806-0-1133";"In Imperial City Prison, defeat the Overfiend, Ibomez the Flesh Sculptor, the Gravelight Sentry, the Flesh Abomination, and Lord Warden Dusk without any group member being noticed by the Vigilant Watchers."
"188155806-0-1136";"Defeat the Celestial Warrior after enraging him through the destruction of his statue army."
"188155806-0-1137";"Defeat the Celestial Mage after taunting her by smashing the Aetherial Orbs."
"188155806-0-1138";"Defeat the Celestial Serpent after desecrating the sacred banners of the Scaled Court."
"188155806-0-1139";"Complete Hel Ra Citadel, Aetherian Archive, and Sanctum Ophidia at their highest difficulties."
"188155806-0-1140";"Conquer all challengers on the increased difficulty version of Dragonstar Arena."
"188155806-0-1142";"Defeat the Lord Warden Dusk of Imperial City Prison while you and your group members avoid every Darklight Burst."
"188155806-0-1143";"Eliminate the threat of the Serpent and his Scaled Court throughout all of Craglorn."
"188155806-0-1144";"Learn every chapter in the Dwemer style book, found in Dwemer urns, trunks, and other dwarven knick-knacks."
"188155806-0-1145";"Become certified in Alchemy, Blacksmithing, Clothing, Enchanting, Provisioning, and Woodworking."
"188155806-0-1146";"Complete one Crafting Writ."
"188155806-0-1147";"Complete 25 Crafting Writs."
"188155806-0-1148";"Complete 150 Crafting Writs."
"188155806-0-1149";"Complete 250 Crafting Writs."
"188155806-0-1150";"Complete one Undaunted Pledge bestowed by Maj al-Ragath."
"188155806-0-1151";"Complete 10 Undaunted Pledges bestowed by Maj al-Ragath."
"188155806-0-1152";"Complete 50 Undaunted Pledges bestowed by Maj al-Ragath."
"188155806-0-1153";"Complete 100 Undaunted Pledges bestowed by Maj al-Ragath."
"188155806-0-1154";"Complete one Undaunted Pledge bestowed by Glirion the Redbeard."
"188155806-0-1155";"Complete 10 Undaunted Pledges bestowed by Glirion the Redbeard."
"188155806-0-1156";"Complete 50 Undaunted Pledges bestowed by Glirion the Redbeard."
"188155806-0-1157";"Complete 100 Undaunted Pledges bestowed by Glirion the Redbeard."
"188155806-0-1158";"Reach level 45, attracting the attention of the Undaunted elite."
"188155806-0-1159";"Complete the following achievements associated with City of Ash II."
"188155806-0-1160";"Find all 13 Skyshards in the Imperial City."
"188155806-0-1169";"Discover all of the striking locales in the Imperial Sewers."
"188155806-0-1172";"Assemble a total of 25 trophy door keys in the Imperial City."
"188155806-0-1174";"Defeat all the Patrolling Horrors in the Imperial City."
"188155806-0-1175";"Bring an end to Molag Bal's secret plot in the Imperial City."
"188155806-0-1176";"Kill 1 player while inside the Imperial City."
"188155806-0-1177";"Kill 50 players while inside the Imperial City."
"188155806-0-1178";"Kill 100 players while inside the Imperial City."
"188155806-0-1179";"Gain 900 Tel Var Stones from a single gain."
"188155806-0-1181";"Learn every chapter in the Xivkyn style book, found in Daedric Caches in the Imperial City."
"188155806-0-1182";"Kill 1 Trove Scamp while adventuring in the Imperial Sewers."
"188155806-0-1184";"Complete the Imperial City Arena by slaying the Ringmaster and her monstrous servants."
"188155806-0-1185";"Complete the Imperial City Temple event by defeating the Daedric Titan, Uzuruz."
"188155806-0-1186";"Catch all 12 rare fish in Imperial City."
"188155806-0-1190";"Successfully pickpocket any citizen of Tamriel."
"188155806-0-1191";"Successfully pickpocket one hundred citizens of Tamriel."
"188155806-0-1192";"Successfully pickpocket one thousand citizens of Tamriel."
"188155806-0-1193";"Successfully escape a guard after choosing the ""Flee"" option in the Accost Dialogue Window."
"188155806-0-1194";"Successfully escape the guards a total of one hundred times after choosing the ""Flee"" option in the Accost Dialogue Window."
"188155806-0-1195";"Make a one time transaction of 1,000 gold or greater for crimes committed against the citizens of Tamriel."
"188155806-0-1196";"Pay a total of 100,000 gold to the Fence OR to the Tamriel Guards to clear your criminal record."
"188155806-0-1197";"Earn 1,000 gold by selling stolen goods to a Fence."
"188155806-0-1198";"Break into and loot the contents of a safebox."
"188155806-0-1199";"Break into and loot the contents of ten safeboxes."
"188155806-0-1200";"Break into and loot the contents of one hundred safeboxes."
"188155806-0-1201";"Earn 100,000 gold by selling stolen goods to a Fence."
"188155806-0-1202";"Earn 1,000,000 gold by selling stolen goods to a Fence."
"188155806-0-1203";"Spend 100 gold to launder stolen items through a Fence."
"188155806-0-1204";"Spend 1,000 gold to launder stolen items through a Fence."
"188155806-0-1205";"Spend 10,000 gold to launder stolen items through a Fence."
"188155806-0-1206";"Successfully pick the lock on a locked door."
"188155806-0-1207";"Successfully pick the locks on fifty locked doors."
"188155806-0-1208";"Successfully pick the locks on one hundred locked doors."
"188155806-0-1209";"Have an article of stolen apparel that you are wearing repossessed by a guard."
"188155806-0-1210";"Have stolen clothing from all your armor slots repossessed at the same time by a guard."
"188155806-0-1211";"Steal an item of Fine quality."
"188155806-0-1212";"Steal an item of Superior quality."
"188155806-0-1213";"Steal an item of Epic quality."
"188155806-0-1214";"Spend your first Champion Point."
"188155806-0-1215";"Spend 100 Champion Points in the Fitness Constellation."
"188155806-0-1216";"Spend 50 Champion Points in the Fitness Constellation."
"188155806-0-1217";"Spend 150 Champion Points in the Fitness Constellation."
"188155806-0-1218";"Spend 50 Champion Points in the Warfare Constellation."
"188155806-0-1219";"Spend 100 Champion Points in the Warfare Constellation."
"188155806-0-1220";"Spend 150 Champion Points in the Warfare Constellation."
"188155806-0-1221";"Spend 50 Champion Points in the Craft Constellation."
"188155806-0-1222";"Spend 100 Champion Points in the Craft Constellation."
"188155806-0-1223";"Spend 150 Champion Points in the Craft Constellation."
"188155806-0-1224";"Kill a citizen of Tamriel."
"188155806-0-1225";"Kill fifty citizens of Tamriel."
"188155806-0-1226";"Kill one hundred citizens of Tamriel."
"188155806-0-1227";"Kill a livestock cow, bull, or ox."
"188155806-0-1228";"Kill a livestock chicken or bantam guar."
"188155806-0-1229";"Kill a livestock goat or sheep."
"188155806-0-1230";"Kill a livestock pig."
"188155806-0-1231";"Kill a livestock guar."
"188155806-0-1232";"Kill a total of ten livestock animals."
"188155806-0-1233";"Kill a total of one hundred livestock animals."
"188155806-0-1234";"Kill a total of five hundred livestock animals."
"188155806-0-1235";"Activate the ancient centurion in Rkindaleft."
"188155806-0-1236";"Defeat all of Rkindaleft's champions."
"188155806-0-1237";"Defeat 3 champions in the Rkindaleft public dungeon."
"188155806-0-1238";"Resist the cultist onslaught in Old Orsinium."
"188155806-0-1239";"Defeat all of the champions in Old Orsinium."
"188155806-0-1240";"Defeat 3 champions in the Old Orsinium public dungeon."
"188155806-0-1241";"Complete 3 quests in Wrothgar."
"188155806-0-1242";"Complete 9 quests in Wrothgar."
"188155806-0-1243";"Complete 15 quests in Wrothgar."
"188155806-0-1244";"Complete 21 quests in Wrothgar."
"188155806-0-1245";"Complete 27 unique quests in Wrothgar."
"188155806-0-1247";"Grant an elderly Orc warrior a glorious death."
"188155806-0-1248";"Complete quests, defeat bosses, and explore delves to become the Hero of Wrothgar."
"188155806-0-1249";"Defeat four Wrothgar world bosses."
"188155806-0-1250";"Collect 16 relics for the House of Orsimer Glories museum."
"188155806-0-1257";"Complete both Wrothgar public dungeon boss achievements."
"188155806-0-1260";"Complete Wrothgar's main quests."
"188155806-0-1261";"Kill 1 member of the Coldharbour Elite Guard."
"188155806-0-1262";"Kill 50 members of the Coldharbour Elite Guard."
"188155806-0-1263";"Kill 100 members of the Coldharbour Elite Guard."
"188155806-0-1267";"Kill 100 players while inside the Imperial Arena."
"188155806-0-1268";"Kill 1 Cunning Scamp while adventuring in the Imperial Sewers."
"188155806-0-1269";"Kill 5 Trove Scamps while adventuring in the Imperial Sewers."
"188155806-0-1270";"Kill 10 Trove Scamps while adventuring in the Imperial Sewers."
"188155806-0-1271";"Kill 5 Cunning Scamps while adventuring in the Imperial Sewers."
"188155806-0-1272";"Kill 10 Cunning Scamps while adventuring in the Imperial Sewers."
"188155806-0-1273";"Complete the Barathrum Centrata event deep beneath the Imperial City."
"188155806-0-1275";"Defeat the Adjudicator, the Empress Regent's Guard, the Planar Inhibitor, and Molag Kena in Veteran White-Gold Tower within 30 minutes of starting the dungeon. Timer starts when you enter Green Emperor Way."
"188155806-0-1276";"Defeat the Adjudicator, the Empress Regent's Guard, the Planar Inhibitor, and Molag Kena in Veteran White-Gold Tower without experiencing the death of a group member."
"188155806-0-1277";"Defeat 100 Xivkyn in Veteran White-Gold Tower."
"188155806-0-1278";"Defeat 75 Daedroth in Veteran White-Gold Tower."
"188155806-0-1279";"In Veteran White-Gold Tower, complete the ritual listed in the Obelisk Tome, then defeat Molag Kena."
"188155806-0-1280";"In Veteran White-Gold Tower, destroy all portals to prevent the arrival of the Planar Inhibitor's reinforcements."
"188155806-0-1281";"Locate and interact with all of the speaking stones in the White-Gold Tower."
"188155806-0-1285";"Defeat Old Snagara the echatere in the Poacher's Encampment."
"188155806-0-1286";"Defeat Zandadunoz the Reborn at the Unfinished Dolmen."
"188155806-0-1287";"Defeat the Riekr regent King-Chief Edu at the King-Chief's Throne."
"188155806-0-1288";"Defeat the Winterborn Briarheart Warrior, Corintthac the Abomination, at the Accursed Nursery."
"188155806-0-1289";"Defeat Mad Urkazbur at the Mad-Ogre's Altar."
"188155806-0-1290";"Defeat Nyzchaleft the Dwarven Centurion at Nyzchaleft Falls."
"188155806-0-1297";"Explore and clear Nikolvara's Kennel."
"188155806-0-1298";"Explore and clear Coldperch Cavern."
"188155806-0-1299";"Explore and clear Argent Mine."
"188155806-0-1300";"Explore and clear Thukhozod's Sanctum."
"188155806-0-1301";"Explore and clear Watcher's Hold."
"188155806-0-1302";"Explore and clear Zthenganaz."
"188155806-0-1303";"In Veteran Imperial City Prison, destroy the Warden's Tome, then defeat Lord Warden Dusk."
"188155806-0-1304";"Conquer all challengers and earn the title of Maelstrom Arena Champion."
"188155806-0-1305";"Conquer all challengers in Veteran Maelstrom Arena."
"188155806-0-1306";"In Veteran White-Gold Tower, become completely engulfed in flame by the Planar Inhibitor's Heat Stroke attack before it completes its Daedric Catastrophe attack. Then stay alive until the Planar Inhibitor is defeated."
"188155806-0-1311";"Gain 1,000 Tel Var Stones over the lifetime of your account."
"188155806-0-1312";"Gain 10,000 Tel Var Stones over the lifetime of your account."
"188155806-0-1313";"Gain 100,000 Tel Var Stones over the lifetime of your account."
"188155806-0-1314";"Gain 300 Tel Var Stones from a single gain."
"188155806-0-1315";"Gain 600 Tel Var Stones from a single gain."
"188155806-0-1316";"Make a donation to the Orsinium City Solicitor."
"188155806-0-1317";"Translate all of the Champion 150 and Champion 160 runestones."
"188155806-0-1318";"Learn every chapter in the Akaviri style book, purchasable from War Researchers in Cyrodiil."
"188155806-0-1319";"Learn every chapter in the Glass style book, purchasable from the Mastercraft Mediator in Alliance capital cities."
"188155806-0-1320";"Find all 17 Skyshards in Wrothgar."
"188155806-0-1321";"Discover and clear all 6 explorable caves in Wrothgar."
"188155806-0-1322";"Discover all of the striking locales in Wrothgar."
"188155806-0-1323";"Discover and clear all caves and striking locales in Wrothgar."
"188155806-0-1324";"Collect all 20 relics for the House of Orsimer Glories museum."
"188155806-0-1325";"Complete quest ""A King-Sized Problem"" in Wrothgar."
"188155806-0-1326";"Complete quest ""The Anger of a King"" in Wrothgar."
"188155806-0-1327";"Complete quest ""Blood on a King's Hands"" in Wrothgar."
"188155806-0-1328";"Complete 40 unique quests in Wrothgar."
"188155806-0-1330";"Complete Veteran Maelstrom Arena in a single attempt, without dying or leaving the arena."
"188155806-0-1331";"Leap from the cliff west of Frostbreak Ridge and survive."
"188155806-0-1333";"Complete 1 world boss daily job for Arzorag in Orsinium within the Wrothgar zone."
"188155806-0-1334";"Complete 7 world boss daily jobs for Arzorag in Orsinium within the Wrothgar zone."
"188155806-0-1335";"Complete 30 world boss daily jobs for Arzorag in Orsinium within the Wrothgar zone."
"188155806-0-1336";"Complete 1 delve daily job for Guruzug in Morkul Stronghold within the Wrothgar zone."
"188155806-0-1337";"Complete 7 delve daily jobs for Guruzug in Morkul Stronghold within the Wrothgar zone."
"188155806-0-1338";"Complete 30 delve daily jobs for Guruzug in Morkul Stronghold within the Wrothgar zone."
"188155806-0-1339";"Catch the rare Crab-Slaughter-Crane fish found in Wrothgar."
"188155806-0-1340";"Catch all 12 rare fish in Wrothgar."
"188155806-0-1341";"Learn every chapter in the Ancient Orc style book, found by defeating foes in Old Orsinium and Rkindaleft."
"188155806-0-1342";"Find all 6 skyshards in the Gold Coast."
"188155806-0-1343";"Drive the dro-m'Athra back to the void and close the Maw of Lorkhaj in Normal Mode."
"188155806-0-1344";"Defeat Rakkhat after empowering him at the lunar shrines in Veteran Maw of Lorkhaj."
"188155806-0-1345";"Defeat the Overfiend, Ibomez the Flesh Sculptor, the Gravelight Sentry, the Flesh Abomination, the Lord Warden's Council, and Lord Warden Dusk in the Imperial City Prison."
"188155806-0-1346";"Defeat the Adjudicator, the Elite Guard, the Planar Inhibitor, and Molag Kena in White-Gold Tower."
"188155806-0-1347";"Find all 6 skyshards in Hew's Bane."
"188155806-0-1348";"Learn every chapter in the Mercenary style book, found in Undaunted Reward Chests."
"188155806-0-1349";"Trespass in seven locked locations throughout Abah's Landing."
"188155806-0-1350";"Learn every rumor about the statue in the Thieves Den."
"188155806-0-1351";"Catch all 12 rare fish in Hew's Bane."
"188155806-0-1352";"Kill Syvarra of the Deep at Ko Estaran."
"188155806-0-1353";"Kill Captain Virindi Slave-Taker at Thrall Cove."
"188155806-0-1354";"Defeat both Hew's Bane world bosses."
"188155806-0-1355";"Explore and clear Bahraha's Gloom."
"188155806-0-1356";"Explore and clear Shark's Teeth Grotto."
"188155806-0-1357";"Discover and clear both explorable caves in Hew's Bane."
"188155806-0-1358";"Discover all of the striking locales in Hew's Bane."
"188155806-0-1359";"Discover and clear all caves and striking locales in Hew's Bane."
"188155806-0-1360";"Complete quest ""Cleaning House"" in Hew's Bane."
"188155806-0-1361";"Complete quest ""A Flawless Plan"" in Hew's Bane."
"188155806-0-1362";"Complete quest ""Forever Hold Your Peace"" in Hew's Bane."
"188155806-0-1363";"Complete quest ""Prison Break"" in Hew's Bane."
"188155806-0-1364";"Complete 12 unique story quests in Hew's Bane."
"188155806-0-1365";"Complete quests, defeat bosses, and explore delves to become the Hero of Hew's Bane."
"188155806-0-1366";"Complete 16 unique story quests in Hew's Bane."
"188155806-0-1367";"Complete Veteran Maw of Lorkhaj within a time limit of 40 minutes. Your trial begins when you cross the threshold of the Temple of Seven Riddles."
"188155806-0-1368";"Defeat Rakkhat, Fang of Lorkhaj and his legions of dro-m'Athra in Veteran Maw of Lorkhaj."
"188155806-0-1369";"Use both chain switches within ten seconds in Veteran Maw of Lorkhaj, then defeat the dro-m'Athra invaders."
"188155806-0-1370";"Complete quest ""The Long Game"" in Hew's Bane."
"188155806-0-1371";"Join the Thieves Guild by completing quest ""Partners in Crime"" in Hew's Bane."
"188155806-0-1372";"Complete 1 heist from the Heist Board for the Thieves Guild."
"188155806-0-1373";"Complete 7 heists from the Heist Board for the Thieves Guild."
"188155806-0-1374";"Complete 15 heists from the Heist Board for the Thieves Guild."
"188155806-0-1375";"Complete quest ""His Greatest Treasure"" in Hew's Bane."
"188155806-0-1376";"Complete quest ""That Which Was Lost"" in Hew's Bane."
"188155806-0-1377";"Complete quest ""Everyone Has A Price"" in Hew's Bane."
"188155806-0-1378";"Complete quest ""The One That Got Away"" in Hew's Bane."
"188155806-0-1379";"Steal the treasures on Kari's Hit List from every territory of the Aldmeri Dominion and place them in the Thieves Den."
"188155806-0-1380";"Steal the treasures on Kari's Hit List from every territory of the Daggerfall Covenant and place them in the Thieves Den."
"188155806-0-1381";"Steal the treasures on Kari's Hit List from every territory of the Ebonheart Pact and place them in the Thieves Den."
"188155806-0-1382";"Steal the treasure on Kari's Hit List from Abah's Landing and place it in the Thieves Den."
"188155806-0-1383";"Steal every treasure from Kari's Hit List and place them all within the Thieves Den."
"188155806-0-1385";"Defeat 25 Void Callers in the Maw of Lorkhaj."
"188155806-0-1386";"Defeat Rakkhat without anyone dying while afflicted by the Breath of Lorkhaj."
"188155806-0-1388";"In Veteran Maw of Lorkhaj, force Rakkhat into his final phase within two lunar cycles, then defeat him."
"188155806-0-1389";"Defeat Rakkhat in Veteran Maw of Lorkhaj, with a maximum of two players ever being afflicted by the Breath of Lorkhaj."
"188155806-0-1390";"Defeat Rakkhat in Veteran Maw of Lorkhaj, with at least three dro-m'Athra Dreadstalkers still alive."
"188155806-0-1391";"Complete all achievements related to defeating Rakkhat, Fang of Lorkhaj in Veteran Maw of Lorkhaj."
"188155806-0-1392";"Complete Veteran Maw of Lorkhaj without suffering a group member death."
"188155806-0-1393";"Come visit the Orcs' newly rebuilt capital city: Orsinium!"
"188155806-0-1394";"Successfully pick pockets at each of the four most popular shops in Abah's Landing."
"188155806-0-1395";"Discover and loot 1 Thieves Trove."
"188155806-0-1396";"Discover and loot 5 Thieves Troves."
"188155806-0-1397";"Discover and loot 15 Thieves Troves."
"188155806-0-1398";"Complete your first daily job from the Tip Board for the Thieves Guild."
"188155806-0-1399";"Complete 10 daily jobs from the Tip Board for the Thieves Guild."
"188155806-0-1400";"Complete 30 daily jobs from the Tip Board for the Thieves Guild."
"188155806-0-1401";"Assist each member of the Thieves Guild in resolving personal matters."
"188155806-0-1402";"Evade justice with the help of the ""Timely Escape"" Thieves Guild skill, as well as a friendly footpad."
"188155806-0-1403";"Complete 1 heist for the Thieves Guild without being detected."
"188155806-0-1404";"Receive the highest possible reward in 5 heists for the Thieves Guild."
"188155806-0-1405";"At each Outlaws Refuge within the Aldmeri Dominion, receive 4000 gold for fencing items."
"188155806-0-1406";"At each Outlaws Refuge within the Ebonheart Pact, receive 4000 gold for fencing items."
"188155806-0-1407";"At each Outlaws Refuge within the Daggerfall Covenant, receive 4000 gold for fencing items."
"188155806-0-1408";"Receive 4000 gold for fencing items at the Thieves Den in Abah's Landing."
"188155806-0-1409";"At each Outlaws Refuge within every Alliance territory, as well as the Thieves Den, receive 4000 gold for fencing items."
"188155806-0-1410";"Execute all targets listed in the Litany of Blood and collect your reward."
"188155806-0-1411";"Learn every chapter in the Trinimac style book, found by completing daily jobs for Guruzug in Morkul."
"188155806-0-1412";"Learn every chapter in the Malacath style book, found by completing daily jobs for Arzorag inside Skalar's Hostel."
"188155806-0-1413";"Travel to the notorious free port of Abah's Landing!"
"188155806-0-1414";"Learn every chapter in the Ebonheart Pact style book, found by Pact heroes in treasure chests in Cyrodiil and Imperial City."
"188155806-0-1415";"Learn every chapter in the Aldmeri Dominion style book, found by Dominion heroes in treasure chests in Cyrodiil and Imperial City."
"188155806-0-1416";"Learn every chapter in the Daggerfall Covenant style book, found by Covenant heroes in treasure chests in Cyrodiil and Imperial City."
"188155806-0-1417";"Learn every chapter in the Outlaw style book, found by defeating bosses in Hew's Bane."
"188155806-0-1418";"Learn the Soul Shriven style book, found by completing Cadwell's Silver."
"188155806-0-1419";"Defeat Limenauruus the possessed minotaur and the shadow spirits at Tribune's Folly."
"188155806-0-1420";"Enter the Kvatch Arena and defeat all challengers."
"188155806-0-1421";"Visit the Gold Coast and take in the local scenery."
"188155806-0-1422";"Learn every chapter in the Abah's Watch style book, found by completing Tip Board quests in the Thieves Guild."
"188155806-0-1423";"Learn every chapter in the Thieves Guild style book, found by completing Heists in the Thieves Guild."
"188155806-0-1424";"Learn every chapter in the Assassins League style book, found by defeating bosses in the Gold Coast."
"188155806-0-1425";"Defeat both world bosses in the Gold Coast."
"188155806-0-1426";"Explore and clear Hrota Cave."
"188155806-0-1427";"Explore and clear Garlas Agea."
"188155806-0-1428";"Discover and clear all caves and striking locales in the Gold Coast."
"188155806-0-1429";"Discover and clear both explorable caves in the Gold Coast."
"188155806-0-1430";"Discover all of the striking locales in the Gold Coast."
"188155806-0-1431";"Catch all 12 rare fish in the Gold Coast."
"188155806-0-1432";"Complete 14 unique story quests in the Gold Coast."
"188155806-0-1433";"Complete 17 unique story quests in the Gold Coast."
"188155806-0-1434";"Complete quests, defeat bosses, and explore delves to become the Bane of the Gold Coast."
"188155806-0-1435";"Join the Dark Brotherhood and complete the ""Voices in the Dark"" quest."
"188155806-0-1436";"Complete the ""Signed in Blood"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1437";"Complete the ""Welcome Home"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1438";"Complete the ""A Lesson in Silence"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1439";"Complete the ""Questions of Faith"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1440";"Complete the ""A Special Request"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1441";"Complete the ""Dark Revelations"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1442";"Complete the ""A Ghost from the Past"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1443";"Complete ""The Wrath of Sithis"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1444";"Complete the ""Filling the Void"" Dark Brotherhood quest in the Gold Coast."
"188155806-0-1445";"Complete your first Black Sacrament contract, as the Speaker commanded."
"188155806-0-1446";"Complete 7 Black Sacrament contracts, as the Speaker commanded."
"188155806-0-1447";"Complete 15 Black Sacrament contracts, as the Speaker commanded."
"188155806-0-1448";"Complete 5 Black Sacrament contracts at the highest possible reward level."
"188155806-0-1449";"Complete a Black Sacrament contract without being detected."
"188155806-0-1450";"Assassinate every target named by a Black Sacrament contract when commanded to by the Speaker."
"188155806-0-1451";"Complete your first murder contract from the ""Marked for Death"" tome."
"188155806-0-1452";"Complete 10 murder contracts from the ""Marked for Death"" tome."
"188155806-0-1453";"Complete 30 murder contracts from the ""Marked for Death"" tome."
"188155806-0-1454";"Closely observe the silent vigil of the Ayleid Sentinel at Beldaburo in the Gold Coast."
"188155806-0-1455";"Murder 20 innocents in the Gold Coast city of Kvatch."
"188155806-0-1456";"Murder 20 innocents in the Gold Coast city of Anvil."
"188155806-0-1457";"In the capital city of each Alliance, murder an innocent with the Blade of Woe."
